census_tract,pop_total,pop_hl,pop_white_non_hl,prop_hl,prop_white_non_hl,median_income
34003041200,4817,1023,768,0.21237284616981525,0.1594353331949346,96767
34003041301,5764,1327,1028,0.23022206800832756,0.17834836918806385,72917
34003041302,4051,1072,767,0.26462601826709453,0.18933596642804246,77266
34003042101,2867,286,1837,0.09975584234391349,0.6407394489012905,117055
34003042102,4942,451,3139,0.09125859975718333,0.6351679481991097,142333
34003042301,4567,547,2580,0.11977227939566455,0.5649222684475586,116424
34003042302,5835,642,3426,0.11002570694087403,0.587146529562982,136888
34003042400,4160,302,2803,0.07259615384615385,0.6737980769230769,130806
34003042500,4279,989,1675,0.23112876840383267,0.39144659967282075,114211
34003043001,4151,631,3286,0.15201156347867983,0.7916164779571188,186985
34003043002,4836,561,3891,0.11600496277915633,0.8045905707196029,147056
34003044100,5903,659,4527,0.11163815009317296,0.7668981873623582,166033
34003044201,3825,155,2938,0.040522875816993466,0.7681045751633987,174438
34003044202,5073,363,4093,0.07155529272619751,0.8068204218411197,126140
34003045101,4353,1516,1528,0.34826556397886516,0.35102228348265563,101483
34003045102,4069,1498,1592,0.3681494224625215,0.3912509216023593,97699
34003045200,3055,1029,917,0.33682487725040916,0.30016366612111295,71944
34003046100,4352,1976,1825,0.4540441176470588,0.41934742647058826,85188
34003046200,4358,2061,1793,0.4729233593391464,0.41142726021110604,97847
34003046300,4492,2910,1089,0.6478183437221727,0.24243098842386465,78750
34003047100,6290,777,3670,0.12352941176470589,0.5834658187599364,182188
34003047200,4510,251,3675,0.05565410199556541,0.8148558758314856,209087
34003047300,3170,345,2382,0.10883280757097792,0.7514195583596215,250
34003047400,4866,228,3488,0.0468557336621455,0.7168105219893136,154545
34003047500,7155,649,5345,0.0907058001397624,0.7470300489168413,213864
34003048100,3857,345,1888,0.08944775732434534,0.4894996110967073,100714
34003048200,8167,479,5122,0.058650667319701234,0.6271580751806048,188568
34003049001,4451,506,3515,0.11368231858009437,0.7897101774882049,202023
